V91,V73,V1,V78,V56,V57,V59,V3,V63,V66,V67,V69,V71,V72,V74,V77,V80,V53,V81,V83,V86,V87,V88,V89,V92,V96,V97,V98,V99,V100,V55,V60,V52,V14,V15,V18,V20,V21,V22,V23,V27,V10,V29,V30,V9,V34,V35,V37,V38,V39,V40,V41,V5,V42,V4,V12
44,49,51,48,39,51,50,56,47,52,50,44,49,60,57,48,54,50,54,44,49,43,47,53,38,46,45,53,40,63,49,44,50,38,47,44,48,55,50,35,58,44,48,52,52,48,35,45,55,55,59,44,56,47,50,63
0,0,1,2,0,1,1,2,0,0,0,0,1,0,0,0,0,3,1,0,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,2,0,1,0,1,1,1
38,46,52,47,60,40,58,61,53,52,57,43,59,61,52,40,58,47,41,56,47,38,48,57,56,53,48,44,42,40,42,47,60,47,42,39,64,53,44,56,47,49,42,47,52,59,39,38,43,49,43,42,47,55,50,48
1,0,2,0,1,0,0,1,1,0,0,2,0,0,0,0,2,3,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,1
51,55,51,45,43,52,46,64,48,57,58,53,45,42,50,39,39,51,56,57,50,49,51,52,51,57,39,43,38,55,61,51,34,48,47,46,49,46,47,43,46,36,40,50,39,53,40,46,40,59,41,40,55,43,48,44
0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,1,0,0,1,0,0,2,0,0,1,0,0,0
3,3,4,1,3,3,6,3,2,4,9,5,2,6,5,3,8,6,4,3,4,7,2,4,1,8,3,6,3,7,1,3,3,1,3,2,4,4,1,2,3,2,5,3,5,3,3,5,1,3,9,2,5,6,1,5
26,19,22,24,17,18,20,24,19,13,22,15,23,25,19,24,17,22,17,15,19,22,23,12,28,25,13,23,23,22,25,15,21,22,22,27,20,16,19,24,21,20,20,14,21,20,22,14,23,19,17,21,19,29,27,19
28,30,20,22,24,28,31,36,32,30,25,21,24,23,24,26,24,25,22,27,27,26,28,33,27,29,25,25,25,26,27,33,37,36,31,29,23,27,27,23,47,31,26,25,32,31,40,41,30,25,28,19,27,29,24,30
1,0,1,2,1,0,0,1,0,0,0,0,1,1,1,1,0,2,1,1,0,1,1,2,1,0,3,1,4,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,3,0,1,1,0,0,0
43,52,53,53,46,41,54,51,59,52,60,45,45,54,57,61,52,55,49,55,49,52,55,52,39,53,56,52,58,39,48,44,44,48,44,50,63,39,52,51,44,43,54,48,45,61,50,51,38,48,63,51,34,51,56,37
2,0,3,3,1,0,0,1,0,0,0,43,1,2,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
3,7,4,2,4,5,7,7,7,4,4,3,2,5,2,4,2,2,9,5,6,6,0,2,3,2,4,3,3,2,5,5,7,5,5,3,5,3,3,3,3,5,5,3,0,7,4,7,6,3,5,5,7,4,2,4
2,0,1,1,0,2,1,5,2,1,0,0,3,3,4,1,0,1,2,4,3,1,1,2,1,1,2,3,6,2,2,2,1,3,1,1,2,3,2,1,1,3,1,3,2,3,0,5,1,1,1,1,0,0,4,4
4,4,3,5,4,3,6,5,4,5,7,4,5,6,5,4,5,6,1,2,3,3,2,2,1,3,7,2,7,1,2,4,2,5,6,5,3,3,10,3,5,5,8,4,8,4,4,1,3,4,1,1,5,5,3,4
41,42,52,51,36,46,43,53,48,34,47,43,42,64,38,40,36,46,45,41,48,35,41,48,37,48,48,43,40,43,39,46,47,47,46,45,49,58,44,41,36,43,46,37,46,51,33,51,39,42,43,36,55,31,38,39
0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,4,1,0,2,1,1,0,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,3,2
31,35,31,22,28,37,28,32,28,43,27,27,46,24,42,32,41,28,29,35,24,36,31,25,36,31,29,30,35,40,31,33,33,42,26,27,34,36,29,37,27,31,34,37,35,20,41,35,29,40,35,32,37,23,29,33
56,57,43,55,34,59,52,51,56,42,56,56,65,50,36,53,56,50,49,47,40,57,59,44,55,45,61,51,47,44,50,40,55,39,42,57,56,56,56,53,61,51,50,55,55,47,43,38,60,43,51,51,48,56,51,55
53,48,46,40,36,45,51,44,55,53,35,51,45,49,50,47,50,47,64,49,44,43,35,40,54,67,47,51,56,45,36,57,51,46,61,60,56,54,51,53,47,44,41,46,39,51,54,50,58,45,46,42,46,55,52,45
1,1,0,0,1,0,0,2,0,1,1,0,2,3,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,2,0,2,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
37,60,51,46,50,51,48,47,49,60,51,54,56,33,37,54,50,59,58,50,43,42,47,51,46,49,51,49,39,46,52,42,38,37,41,57,38,57,66,43,45,42,46,47,56,48,43,52,53,54,43,61,49,52,60,62
49,39,45,51,41,53,36,52,62,51,50,53,41,51,50,41,51,48,31,47,56,49,48,52,43,43,50,45,42,40,50,58,47,46,56,45,47,56,38,37,52,40,43,52,44,36,56,48,54,38,46,55,47,43,44,50
20,15,18,15,13,18,23,24,21,21,16,9,12,25,13,26,29,21,17,22,19,21,28,22,21,21,17,15,18,17,20,25,24,27,24,16,20,24,20,22,19,26,15,29,18,27,20,21,28,19,22,24,21,26,23,16
86,95,1,0,0,4,0,0,0,36,0,1,8,81,1,0,4,1,45,4,1,7,2,0,0,0,1,7,0,0,1,1,1,5,0,1,0,2,4,1,0,0,0,0,6,1,1,11,0,0,16,11,0,0,46,0
0,2,4,2,1,1,7,4,6,1,1,3,2,5,4,6,4,6,2,6,3,2,7,1,4,3,1,8,6,7,3,6,3,4,1,2,7,5,3,4,2,2,2,4,3,1,0,2,2,2,5,5,3,5,6,3
53,57,43,49,55,49,53,51,41,60,41,42,49,46,45,49,69,59,56,48,52,52,46,44,44,51,36,40,46,45,45,47,41,46,39,45,51,44,52,48,50,44,44,53,45,43,43,57,46,45,45,51,53,38,55,49
0,0,0,0,0,0,0,1,1,0,0,6,0,58,1,0,0,0,1,1,0,0,0,0,3,0,4,2,0,0,0,1,0,0,0,1,0,2,0,0,0,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0
0,0,0,0,0,1,1,0,0,1,0,2,2,0,0,1,1,0,1,1,0,0,0,0,2,1,2,0,2,1,0,1,1,0,0,0,1,3,1,4,1,0,0,2,3,0,1,0,1,0,0,1,1,0,1,0
49,37,51,40,45,49,46,52,52,44,51,55,65,48,50,49,44,58,56,54,55,48,61,54,38,39,46,50,39,40,46,52,59,54,44,51,53,55,40,47,59,43,55,50,51,51,43,46,51,50,62,56,44,53,44,57
11,12,8,11,16,11,15,14,8,10,11,17,11,16,14,14,8,19,14,11,15,16,11,11,6,8,13,12,7,8,18,16,16,12,14,7,10,18,11,8,11,16,20,10,10,9,14,6,11,10,16,17,19,12,9,15
3,2,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,2,0,1,0,1,1,0,2,3,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,2,0,1,0,1,0,2,2
17,11,10,6,7,5,7,11,11,9,5,9,2,8,11,13,14,8,12,14,14,9,5,10,4,6,7,3,10,11,5,10,8,8,7,12,5,7,11,10,9,8,8,7,6,11,5,7,5,7,9,9,12,12,7,7
0,1,2,0,0,0,0,0,0,1,1,1,1,0,0,0,2,0,0,1,2,10,69,2,0,0,1,0,5,1,0,0,0,2,2,1,2,1,0,2,1,0,2,1,1,1,3,0,0,0,2,0,1,0,0,2
39,58,52,52,53,58,55,41,47,48,58,57,33,45,50,44,54,53,40,43,42,50,50,49,60,40,59,62,39,45,40,43,41,47,41,39,37,50,42,50,33,51,37,58,37,53,50,50,48,56,31,48,43,54,50,52
14,9,4,6,7,9,3,10,13,6,5,12,8,12,4,9,5,8,6,4,10,9,7,10,9,8,3,11,10,6,8,7,11,3,8,5,7,7,9,3,14,3,6,11,2,11,5,10,6,8,8,6,6,11,9,9
54,47,48,45,43,43,58,42,45,53,59,47,44,48,51,46,53,40,54,48,49,41,41,57,40,49,49,43,55,44,48,49,53,56,40,47,59,46,43,51,56,53,50,43,47,47,51,64,54,44,36,51,52,50,46,60
44,41,49,47,40,42,39,47,58,41,39,40,41,40,40,35,44,54,33,40,35,41,46,35,37,52,39,55,45,46,47,42,43,56,49,46,46,47,62,51,46,59,44,43,43,37,46,40,53,40,45,42,49,38,49,55
8,6,12,6,12,10,12,4,12,7,12,3,19,8,6,11,13,12,13,14,9,8,13,12,25,5,10,16,17,10,12,11,5,6,8,11,8,9,7,12,9,16,9,12,7,16,12,16,6,8,9,11,8,11,10,11
2,1,3,2,2,3,2,0,1,1,2,1,2,0,2,2,1,0,0,0,1,1,3,0,1,0,3,5,2,2,0,1,1,0,0,3,1,2,3,4,3,2,2,4,2,0,1,2,0,1,1,2,5,2,2,1
44,40,32,43,35,39,29,44,43,41,39,38,34,43,36,56,37,53,33,31,49,49,38,37,48,112,43,46,46,32,34,41,37,41,42,33,45,34,46,47,53,38,48,45,42,36,52,43,40,41,41,47,44,56,33,48
11,8,11,11,12,15,9,5,5,11,11,10,13,11,15,9,9,8,16,14,24,13,16,5,12,15,9,5,8,18,9,16,8,8,12,9,14,10,9,12,12,9,10,4,9,6,10,13,14,5,11,12,10,8,6,7
11,20,19,14,16,24,16,16,13,26,23,17,17,20,8,15,23,16,13,17,13,11,13,19,14,8,15,19,19,14,17,19,10,7,12,12,15,19,13,21,11,22,16,24,18,23,13,14,12,16,20,14,19,11,13,17
3,2,2,3,3,7,3,4,0,6,4,3,1,6,4,4,2,4,5,7,5,4,6,6,5,6,5,6,1,4,4,1,3,5,2,3,4,7,3,6,4,2,2,3,4,2,5,3,1,3,2,4,0,2,5,3
54,58,47,58,43,50,56,37,48,45,47,42,45,43,49,51,59,42,58,51,51,51,54,52,67,40,55,38,47,47,31,32,43,43,43,50,31,47,47,46,57,38,44,55,43,53,54,44,50,45,41,42,47,50,35,43
6,10,9,6,10,10,8,13,9,8,10,7,8,8,8,9,9,6,4,8,8,8,10,10,7,7,16,6,11,15,6,12,5,3,16,10,13,5,15,15,8,8,5,10,7,6,10,16,8,13,9,5,13,4,11,12
22,32,29,21,16,33,32,21,27,32,34,29,24,25,24,29,27,23,23,20,23,28,19,25,21,21,25,23,30,29,23,31,25,30,32,24,30,21,34,26,23,15,27,27,27,17,22,24,28,25,28,24,29,27,27,22
2,5,6,5,6,5,3,5,4,11,9,5,10,5,2,4,2,6,3,7,6,7,7,2,4,4,4,5,4,6,4,8,9,5,3,10,6,5,4,5,6,3,10,10,9,5,8,7,5,6,10,5,4,7,7,3
33,29,38,31,28,38,28,24,32,25,35,29,28,37,38,27,33,37,35,25,23,44,28,32,28,30,31,38,29,38,39,24,29,42,27,32,32,27,28,34,29,34,28,39,29,37,23,27,41,30,35,34,31,26,38,35
9,6,12,13,12,8,13,19,9,11,5,10,12,16,9,9,6,11,9,14,12,2,8,7,10,9,9,8,9,10,7,6,8,13,11,13,9,12,5,6,7,8,12,16,11,11,12,11,18,9,11,10,12,15,12,7
9,9,6,17,13,7,9,11,12,11,3,6,11,9,13,11,7,13,3,14,17,11,7,10,16,9,7,9,5,10,12,7,14,7,9,12,13,16,12,15,11,7,10,11,11,9,9,8,12,10,2,8,14,9,5,10
2,4,3,6,5,1,1,3,3,8,6,3,5,2,6,8,6,3,1,6,4,2,4,5,2,3,5,2,4,4,7,7,11,1,2,7,5,2,6,4,4,4,10,2,9,7,4,5,6,9,5,4,3,2,4,4
18,24,12,14,13,11,11,20,15,18,17,13,19,21,15,14,12,9,21,19,19,16,25,21,20,16,16,15,22,15,16,26,16,21,13,21,12,16,18,19,17,12,19,23,12,9,21,17,24,16,14,19,19,19,19,13
4,1,2,1,2,1,1,3,4,5,2,2,2,2,2,2,0,1,2,1,1,2,1,1,6,0,2,1,3,2,0,3,2,2,3,3,2,1,1,0,1,2,1,1,1,1,0,2,2,0,2,2,3,2,5,0
43,51,44,47,53,56,51,49,43,51,53,43,51,59,60,65,49,50,52,52,51,51,45,37,59,52,58,49,46,39,62,49,53,48,48,53,41,54,48,43,43,48,57,51,58,49,49,50,44,49,54,44,45,45,59,39
40,49,46,47,63,55,50,39,54,52,52,57,41,47,47,54,49,52,55,67,30,41,59,44,41,45,41,49,49,53,38,52,50,66,49,60,48,45,47,59,35,49,50,51,54,43,59,44,51,43,50,41,53,39,49,47
7,8,6,3,3,6,9,3,7,4,8,8,5,5,5,6,3,3,9,7,11,7,9,6,2,9,5,3,6,6,8,7,8,9,5,8,7,7,4,7,6,7,12,6,2,9,3,8,6,8,0,9,10,3,11,4
12,16,16,14,20,22,23,12,14,18,21,24,15,17,17,18,21,17,19,21,17,19,17,20,12,13,22,16,7,21,13,13,21,22,16,19,21,20,18,14,18,17,18,11,16,17,12,22,16,18,14,12,18,20,21,22
31,31,23,29,23,34,36,28,28,24,28,26,40,30,28,34,21,35,29,34,36,33,34,34,32,34,28,31,23,41,27,32,32,29,34,31,28,33,30,35,32,30,27,28,29,38,32,37,35,19,33,35,33,26,44,37
45,53,42,39,38,35,44,46,44,46,47,41,52,32,36,45,44,27,40,40,44,39,33,51,52,34,47,40,61,46,42,47,31,37,34,28,42,54,53,50,34,36,33,52,45,47,40,35,40,47,37,37,36,37,46,39
0,0,3,1,0,2,0,0,0,1,0,0,0,5,0,0,0,0,6,0,0,0,1,1,6,0,1,0,1,26,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,6,1,0,54,0,0
48,62,49,50,57,45,51,57,38,51,41,45,46,47,48,36,38,51,53,48,45,53,50,52,53,57,59,49,55,37,49,47,40,56,70,47,46,52,50,54,47,43,48,39,52,39,66,47,57,40,43,52,40,43,41,59
27,28,30,34,27,31,32,28,40,36,33,32,30,31,34,25,38,31,35,38,41,37,27,31,28,26,29,36,25,31,33,31,38,29,33,29,32,31,33,37,36,32,28,28,26,27,32,35,32,27,24,38,39,33,31,21
1,1,2,5,2,3,1,0,1,2,3,2,1,4,3,3,3,1,1,5,3,4,2,0,0,0,1,0,2,2,2,4,1,0,1,3,2,2,1,1,0,3,4,4,2,1,3,4,3,2,2,1,2,2,1,1
3,1,2,1,2,1,1,2,1,0,4,6,2,1,2,2,1,2,5,1,0,2,0,1,5,2,2,3,1,3,4,0,1,2,3,3,6,1,3,3,2,3,4,1,2,2,2,3,1,3,3,1,0,5,2,2
14,14,18,11,15,10,26,16,17,8,16,11,15,9,14,16,13,16,16,15,12,13,12,18,15,11,19,15,9,14,12,13,10,14,14,13,15,13,13,15,11,16,13,18,10,15,16,17,16,15,16,12,12,16,22,15
0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,3,1,1,0,1,0,1,1,2,3,0,0,0,0,2,0,0,3,0,0,1,0,1
0,0,1,1,2,0,0,1,2,0,1,0,0,1,0,1,2,0,1,0,0,1,0,1,2,0,0,2,1,1,1,0,0,3,1,1,0,0,1,0,0,1,0,2,0,0,1,0,0,0,2,0,0,0,1,1
54,44,41,50,47,59,45,46,51,43,48,47,45,44,56,56,43,58,62,75,50,51,65,36,45,64,44,42,62,53,54,41,55,45,57,52,48,49,52,69,59,54,42,39,46,54,40,44,59,54,41,40,40,57,46,51
5,1,0,0,1,0,0,2,1,1,0,2,1,2,2,1,0,0,2,0,1,2,3,8,0,2,2,3,2,2,3,4,1,0,0,1,4,3,0,1,2,1,0,2,2,2,2,0,1,2,2,0,2,1,3,2
20,20,23,19,16,14,20,14,14,16,29,17,20,20,15,16,12,14,23,13,19,20,23,17,23,21,18,16,22,16,12,22,18,20,17,19,21,17,16,21,19,13,26,16,25,22,21,15,15,15,20,17,23,19,13,14
55,55,45,38,40,42,65,30,37,46,55,51,30,48,46,50,41,48,65,50,42,37,51,44,58,47,38,47,42,51,41,49,44,43,45,39,46,56,46,37,46,49,46,48,47,59,47,40,41,45,25,32,41,37,60,47
0,0,0,1,1,1,0,0,2,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,1,0,1,2,0,3,0,0,1,0,1,1,2,0
3,2,0,1,0,2,1,2,1,3,0,3,0,2,8,1,1,0,0,0,1,0,1,3,2,1,4,3,3,3,0,1,1,2,3,1,3,0,1,3,1,1,0,1,1,2,1,1,1,3,0,2,2,3,1,1
51,55,45,45,40,47,46,42,50,51,45,40,56,45,44,47,52,41,47,55,47,51,41,61,52,41,63,54,57,51,43,37,42,56,47,41,42,59,41,48,45,39,44,49,44,64,54,50,58,50,54,32,46,48,58,46
10,3,7,6,7,7,6,4,7,3,6,4,5,5,7,2,3,6,8,8,6,1,7,8,9,7,4,9,8,6,3,6,1,11,3,1,5,7,6,7,5,8,5,12,5,5,5,6,6,2,7,5,5,1,5,7
16,21,11,16,22,13,23,14,14,12,18,13,14,13,12,11,20,19,11,17,14,20,11,13,19,22,19,14,13,8,11,22,17,22,14,16,15,21,16,13,15,14,12,13,15,10,21,12,15,16,15,21,18,22,15,11
51,45,47,43,51,45,54,37,46,39,41,45,38,39,45,47,54,34,48,55,47,37,42,38,41,41,33,49,41,41,50,41,35,40,45,39,40,31,36,50,36,54,41,46,37,55,35,45,46,50,57,50,48,51,48,45
1,6,2,6,1,1,2,2,3,0,2,3,1,6,2,5,4,3,4,1,1,5,6,2,2,7,3,4,6,3,2,3,4,5,3,4,3,5,5,6,3,6,2,4,4,3,6,5,4,2,2,3,0,4,5,5
53,67,44,48,61,38,51,46,67,51,51,45,46,70,49,38,43,46,54,53,50,58,60,54,58,47,52,46,61,47,48,52,45,63,56,45,60,44,59,49,42,38,42,43,56,48,65,52,59,55,52,40,51,43,42,43
45,47,42,42,44,45,42,47,44,45,40,47,47,45,41,49,45,46,39,49,39,54,53,48,46,55,49,31,49,47,44,52,44,52,50,47,53,47,47,40,51,49,51,51,48,39,50,38,54,48,42,42,46,46,51,38
0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,2,1,0,0,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,1,0
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,2,2,0,1,0,0,0,1,1,2,1,0,0,1,0,0,1,0,1,0,0
37,59,56,55,60,46,43,49,42,45,46,52,40,45,53,50,52,43,56,53,54,46,49,43,58,38,45,49,31,49,44,54,46,47,53,46,63,47,50,39,35,44,38,49,45,44,39,44,47,49,59,50,58,52,43,51
46,51,43,57,38,47,49,54,57,53,48,55,41,44,52,47,53,52,43,50,39,51,52,37,57,38,63,39,55,61,50,57,41,63,48,58,37,63,41,51,52,48,44,45,44,52,52,46,56,55,51,50,29,56,63,51
19,11,13,14,9,15,10,18,10,15,18,10,10,12,13,20,8,17,15,14,18,16,14,15,17,13,13,9,14,24,10,17,15,11,18,12,13,19,19,18,9,18,15,12,20,15,17,17,14,22,15,17,16,12,16,17
49,55,53,36,49,48,38,63,50,45,53,54,45,55,51,40,63,32,57,57,53,68,55,66,51,47,52,61,49,54,59,47,53,38,46,45,55,59,51,55,54,51,38,43,37,50,44,45,53,41,52,44,51,45,50,53
31,29,29,23,31,26,40,29,26,26,26,29,33,46,21,33,15,36,17,28,20,36,32,34,33,23,24,26,34,28,27,27,29,38,31,24,31,20,33,37,34,27,37,34,25,22,26,22,24,28,32,25,40,34,32,33
8,4,8,7,10,10,8,15,5,8,9,5,6,9,12,8,12,7,8,8,16,10,17,9,12,7,8,8,6,7,14,11,8,11,15,10,15,11,5,14,8,6,6,10,15,7,11,8,7,12,6,5,7,6,13,8
39,44,42,40,35,48,38,38,42,48,50,40,41,45,45,39,40,55,48,39,65,37,46,44,42,37,34,41,39,35,42,43,43,39,46,48,38,42,29,38,44,38,27,36,43,45,41,41,41,42,46,54,35,47,38,36
54,50,56,49,36,53,62,56,42,60,47,50,45,53,51,50,52,45,44,47,39,70,40,52,42,59,54,39,43,44,46,52,57,56,59,52,61,50,45,40,49,49,48,51,40,52,38,54,39,45,47,42,58,46,59,52
50,52,54,53,50,39,41,44,37,47,54,55,51,46,43,50,50,46,47,52,46,46,64,53,48,42,49,46,45,44,33,50,43,53,49,57,51,62,59,60,51,41,55,36,50,47,48,43,59,51,46,59,34,38,43,57
38,44,38,44,45,45,32,46,42,41,37,30,47,40,38,35,41,45,36,45,45,38,48,41,31,47,44,31,32,45,34,37,41,49,42,36,40,35,28,37,48,49,48,37,34,48,31,51,35,50,47,42,32,44,41,45
37,49,46,63,36,40,62,43,62,46,66,70,48,48,56,51,57,53,49,47,50,58,39,46,55,50,37,56,48,58,52,54,47,41,51,48,47,46,57,53,53,42,58,44,50,56,53,52,48,49,47,54,52,56,55,46
33,31,30,37,29,28,26,30,22,27,41,32,41,24,29,37,42,28,34,31,33,27,34,31,41,31,44,38,23,32,27,37,29,51,35,41,29,42,23,35,23,31,30,48,34,38,37,41,32,30,29,35,41,32,34,29
42,47,44,45,43,49,48,41,48,34,40,47,40,41,50,46,40,67,59,58,39,53,54,48,63,46,55,44,40,40,47,47,64,46,48,51,44,48,62,43,67,55,48,47,57,52,49,56,50,51,50,69,51,54,52,45
47,43,45,48,61,62,50,44,54,35,54,60,53,50,53,45,42,56,57,50,48,48,37,54,39,46,59,45,51,45,57,44,49,50,58,50,57,53,39,50,53,59,51,52,40,51,48,48,41,53,48,52,55,43,53,45
0,0,0,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,2,38,0,0,1,1,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,2,1,2,0,0,1,1
25,29,30,18,38,24,29,28,23,31,34,37,32,33,30,36,34,26,27,30,32,32,30,24,22,30,29,36,25,20,27,22,26,14,30,26,27,26,25,26,25,29,27,24,22,32,22,31,35,25,41,24,24,27,33,30
30,55,42,52,49,50,47,40,39,45,48,39,49,43,41,45,49,37,59,42,44,56,50,47,46,53,33,41,50,33,48,45,66,47,35,61,54,43,47,39,47,31,55,38,57,67,45,62,45,43,40,50,57,47,46,45
48,45,56,60,39,45,56,53,44,47,49,56,57,43,54,41,49,51,42,59,46,46,48,53,53,50,59,46,50,55,52,50,52,38,55,54,53,50,47,46,42,47,48,46,57,59,45,57,49,39,57,46,51,36,47,43
56,44,35,33,48,38,29,51,53,44,44,47,45,59,38,48,39,40,44,45,47,50,41,43,55,47,44,41,48,49,56,35,50,47,50,65,44,44,41,53,42,44,51,48,47,45,36,41,52,43,41,63,40,46,45,49
52,47,55,41,53,50,53,51,53,50,50,51,46,39,56,52,50,62,46,49,43,51,36,46,40,45,35,55,56,52,48,40,44,61,41,55,51,51,39,43,59,54,41,40,49,52,59,57,64,46,49,47,46,42,54,39
26,25,29,39,25,31,41,32,29,19,31,30,27,35,35,23,21,25,34,33,22,40,30,35,38,27,24,28,25,35,24,32,32,26,36,26,35,27,31,36,34,23,39,30,24,24,31,26,32,43,25,29,39,18,29,31
64,50,47,52,55,48,44,48,49,42,38,39,46,37,36,52,43,51,37,46,49,49,58,45,41,52,53,50,49,50,53,42,51,53,47,51,48,47,52,49,48,46,41,45,49,43,48,57,58,59,43,63,54,47,54,54
